company,year,reporting_date,scope_1_tco2e,scope_2_market_tco2e,scope_2_location_tco2e,scope_3_operational_tco2e,total_market_based_tco2e,net_emissions_tco2e
Admiral Group,2024,2024-12-31,542,,,,,
Admiral Group,2023,2023-12-31,,,,,,
Admiral Group,2022,2022-12-31,,,,,,
Ageas,2024,2024-12-31,,,,,,
Ageas,2023,2023-12-31,,,,,,
Ageas,2022,2022-12-31,,,,,,
Allianz,2024,2024-12-31,,,,,,
Allianz,2023,2023-12-31,,,,,,
Allianz,2022,2022-12-31,,,,,,
Amundi,2024,2024-12-31,,,,,,
Amundi,2023,2023-12-31,,,,,,
Amundi,2022,2022-12-31,,,,,,
ASR Nederland,2024,2024-12-31,,,,,,
ASR Nederland,2023,2023-12-31,,,,,,
ASR Nederland,2022,2022-12-31,,,,,,
Aviva,2024,2024-12-31,7437,413,7360,10691,18541,0
Aviva,2023,2023-12-31,7503,429,7580,9454,17386,0
Aviva,2022,2022-12-31,8526,563,8150,4869,13958,0
AXA,2024,2024-12-31,,,,,,
AXA,2023,2023-12-31,,,,,,
AXA,2022,2022-12-31,,,,,,
Commerzbank,2024,2024-12-31,,,,,,
Commerzbank,2023,2023-12-31,,,,,,
Commerzbank,2022,2022-12-31,,,,,,
Credit Agricole,2024,2024-12-31,,,,,,
Credit Agricole,2023,2023-12-31,,,,,,
Credit Agricole,2022,2022-12-31,,,,,,
Deutsche Boerse,2024,2024-12-31,,,,,,
Deutsche Boerse,2023,2023-12-31,,,,,,
Deutsche Boerse,2022,2022-12-31,,,,,,
Eurazeo,2024,2024-12-31,,,,,,
Eurazeo,2023,2023-12-31,,,,,,
Eurazeo,2022,2022-12-31,,,,,,
GBL,2024,2024-12-31,,,,,,
GBL,2023,2023-12-31,,,,,,
GBL,2022,2022-12-31,,,,,,
KBC,2024,2024-12-31,,,,,,
KBC,2023,2023-12-31,,,,,,
KBC,2022,2022-12-31,,,,,,
Legal & General,2024,2024-12-31,,,,,,
Legal & General,2023,2023-12-31,,,,,,
Legal & General,2022,2022-12-31,,,,,,
NN Group,2024,2024-12-31,,,,,,
NN Group,2023,2023-12-31,,,,,,
NN Group,2022,2022-12-31,,,,,,
Nordea,2024,2024-12-31,,,,,,
Nordea,2023,2023-12-31,,,,,,
Nordea,2022,2022-12-31,,,,,,
Phoenix Group,2024,2024-12-31,,,,,,
Phoenix Group,2023,2023-12-31,,,,,,
Phoenix Group,2022,2022-12-31,,,,,,
Santander,2024,2024-12-31,35503,,,,,
Santander,2023,2023-12-31,,,,,,
Santander,2022,2022-12-31,,,,,,
Schroders,2024,2024-12-31,,,,,,
Schroders,2023,2023-12-31,,,,,,
Schroders,2022,2022-12-31,,,,,,
Societe Generale,2024,2024-12-31,,,,,,
Societe Generale,2023,2023-12-31,,,,,,
Societe Generale,2022,2022-12-31,,,,,,
Swiss Re,2024,2024-12-31,,,,,,
Swiss Re,2023,2023-12-31,,,,,,
Swiss Re,2022,2022-12-31,,,,,,
UniCredit,2024,2024-12-31,,,,,,
UniCredit,2023,2023-12-31,,,,,,
UniCredit,2022,2022-12-31,,,,,,
Zurich,2024,2024-12-31,1034,,,,,
Zurich,2023,2023-12-31,,,,,,
Zurich,2022,2022-12-31,,,,,,
