institution,institution_type,country,part,category,mention,quantitative,coverage,data_quality,composite,q1,median,q3,status
Admiral Group,insurer,UK,Part A,Listed equity and corporate bonds,2,0,0,0,2,0,2,3,PARTIAL
Admiral Group,insurer,UK,Part A,Business loans and unlisted equity,0,0,0,0,0,0,0,1,MISSING
Admiral Group,insurer,UK,Part A,Project finance,0,0,0,0,0,0,0,1,MISSING
Admiral Group,insurer,UK,Part A,Commercial real estate,0,0,0,0,0,0,1,2,MISSING
Admiral Group,insurer,UK,Part A,Mortgages,0,0,0,0,0,1,1,2,MISSING
Admiral Group,insurer,UK,Part A,Motor vehicle loans,2,0,0,0,2,0,0,2,PARTIAL
Admiral Group,insurer,UK,Part A,Use of proceeds,2,0,0,0,2,1,2,2,PARTIAL
Admiral Group,insurer,UK,Part A,Securitized and structured products,1,0,0,0,1,1,1,2,PARTIAL
Admiral Group,insurer,UK,Part A,Sovereign debt,0,0,0,0,0,0,2,3,MISSING
Admiral Group,insurer,UK,Part A,Sub-sovereign debt,0,0,0,0,0,1,1,2,MISSING
Admiral Group,insurer,UK,Part B,Facilitated emissions,0,0,0,0,0,1,1,2,MISSING
Admiral Group,insurer,UK,Part C,Commercial lines,2,0,0,0,2,0,1,2,PARTIAL
Admiral Group,insurer,UK,Part C,Personal motor,2,1,0,0,3,0,0,3,PARTIAL
Admiral Group,insurer,UK,Part C,Project insurance,0,0,0,0,0,0,0,0,MISSING
Admiral Group,insurer,UK,Part C,Treaty reinsurance,1,0,0,0,1,0,1,1,PARTIAL
Ageas,insurer,Belgium,Part A,Listed equity and corporate bonds,0,0,0,0,0,0,2,3,MISSING
Ageas,insurer,Belgium,Part A,Business loans and unlisted equity,0,0,0,0,0,0,0,1,MISSING
Ageas,insurer,Belgium,Part A,Project finance,0,0,0,0,0,0,0,1,MISSING
Ageas,insurer,Belgium,Part A,Commercial real estate,0,0,0,0,0,0,1,2,MISSING
Ageas,insurer,Belgium,Part A,Mortgages,0,0,0,0,0,1,1,2,MISSING
Ageas,insurer,Belgium,Part A,Motor vehicle loans,0,0,0,0,0,0,0,2,MISSING
Ageas,insurer,Belgium,Part A,Use of proceeds,0,0,0,0,0,1,2,2,MISSING
Ageas,insurer,Belgium,Part A,Securitized and structured products,1,1,1,0,3,1,1,2,REPORTED
Ageas,insurer,Belgium,Part A,Sovereign debt,0,0,0,0,0,0,2,3,MISSING
Ageas,insurer,Belgium,Part A,Sub-sovereign debt,1,0,0,0,1,1,1,2,PARTIAL
Ageas,insurer,Belgium,Part B,Facilitated emissions,0,0,0,0,0,1,1,2,MISSING
Ageas,insurer,Belgium,Part C,Commercial lines,3,1,0,0,4,0,1,2,REPORTED
Ageas,insurer,Belgium,Part C,Personal motor,0,0,0,0,0,0,0,3,MISSING
Ageas,insurer,Belgium,Part C,Project insurance,0,0,0,0,0,0,0,0,MISSING
Ageas,insurer,Belgium,Part C,Treaty reinsurance,1,0,0,0,1,0,1,1,PARTIAL
Allianz,insurer,Germany,Part A,Listed equity and corporate bonds,3,0,0,0,3,0,2,3,PARTIAL
Allianz,insurer,Germany,Part A,Business loans and unlisted equity,3,0,0,0,3,0,0,1,REPORTED
Allianz,insurer,Germany,Part A,Project finance,3,0,0,0,3,0,0,1,REPORTED
Allianz,insurer,Germany,Part A,Commercial real estate,3,0,0,0,3,0,1,2,REPORTED
Allianz,insurer,Germany,Part A,Mortgages,2,0,0,0,2,1,1,2,PARTIAL
Allianz,insurer,Germany,Part A,Motor vehicle loans,1,0,0,0,1,0,0,2,PARTIAL
Allianz,insurer,Germany,Part A,Use of proceeds,3,0,0,0,3,1,2,2,REPORTED
Allianz,insurer,Germany,Part A,Securitized and structured products,3,0,0,0,3,1,1,2,REPORTED
Allianz,insurer,Germany,Part A,Sovereign debt,3,0,0,0,3,0,2,3,PARTIAL
Allianz,insurer,Germany,Part A,Sub-sovereign debt,3,0,0,0,3,1,1,2,REPORTED
Allianz,insurer,Germany,Part B,Facilitated emissions,1,0,0,0,1,1,1,2,PARTIAL
Allianz,insurer,Germany,Part C,Commercial lines,1,0,0,0,1,0,1,2,PARTIAL
Allianz,insurer,Germany,Part C,Personal motor,3,0,0,1,4,0,0,3,REPORTED
