company,assessment_date,pcaf_part,part_name,total_score,max_score,percentage,maturity_level
Admiral Group,2024-12-31,Part A,Financed Emissions,4,23,17.4,1
Admiral Group,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
Ageas,2024-12-31,Part A,Financed Emissions,11,23,47.8,2
Ageas,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
Allianz,2024-12-31,Part A,Financed Emissions,18,23,78.3,4
Allianz,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
Amundi,2024-12-31,Part A,Financed Emissions,2,23,8.7,0
ASR Nederland,2024-12-31,Part A,Financed Emissions,14,23,60.9,3
ASR Nederland,2024-12-31,Part C,Insurance-Associated Emissions,8,13,61.5,4
Aviva,2024-12-31,Part A,Financed Emissions,19,23,82.6,4
Aviva,2024-12-31,Part C,Insurance-Associated Emissions,2,13,15.4,1
AXA,2024-12-31,Part A,Financed Emissions,18,23,78.3,4
AXA,2024-12-31,Part C,Insurance-Associated Emissions,8,13,61.5,4
Commerzbank,2024-12-31,Part A,Financed Emissions,15,23,65.2,3
Commerzbank,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
Crédit Agricole,2024-12-31,Part A,Financed Emissions,4,23,17.4,1
Crédit Agricole,2024-12-31,Part B,Facilitated Emissions,3,13,23.1,1
Deutsche Börse,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Eurazeo,2024-12-31,Part A,Financed Emissions,7,23,30.4,1
GBL,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
KBC,2024-12-31,Part A,Financed Emissions,11,23,47.8,2
KBC,2024-12-31,Part B,Facilitated Emissions,9,13,69.2,4
KBC,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
Legal & General,2024-12-31,Part A,Financed Emissions,13,23,56.5,3
Legal & General,2024-12-31,Part C,Insurance-Associated Emissions,3,13,23.1,1
NN Group,2024-12-31,Part A,Financed Emissions,15,23,65.2,3
NN Group,2024-12-31,Part C,Insurance-Associated Emissions,3,13,23.1,1
Nordea,2024-12-31,Part A,Financed Emissions,18,23,78.3,4
Nordea,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
Phoenix Group,2024-12-31,Part A,Financed Emissions,12,23,52.2,3
Phoenix Group,2024-12-31,Part C,Insurance-Associated Emissions,2,13,15.4,1
Santander,2024-12-31,Part A,Financed Emissions,16,23,69.6,4
Santander,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Schroders,2024-12-31,Part A,Financed Emissions,10,23,43.5,2
Société Générale,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Société Générale,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Swiss Re,2024-12-31,Part A,Financed Emissions,17,23,73.9,4
Swiss Re,2024-12-31,Part C,Insurance-Associated Emissions,9,13,69.2,4
UniCredit,2024-12-31,Part A,Financed Emissions,12,23,52.2,3
UniCredit,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Zurich,2024-12-31,Part A,Financed Emissions,7,23,30.4,1
Zurich,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
ING,2024-12-31,Part A,Financed Emissions,16,23,69.6,4
ING,2024-12-31,Part B,Facilitated Emissions,3,13,23.1,1
Julius Baer,2024-12-31,Part A,Financed Emissions,12,23,52.2,3
Julius Baer,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
