company,year,asset_class,emissions_million_tco2e,coverage_percent,reported
ASR Nederland,2024,Listed equity and corporate bonds,,70,TRUE
ASR Nederland,2024,Business loans and unlisted equity,,0,FALSE
ASR Nederland,2024,Project finance,,0,FALSE
ASR Nederland,2024,Commercial real estate,,40,TRUE
ASR Nederland,2024,Mortgages,,70,TRUE
ASR Nederland,2024,Motor vehicle loans,,0,FALSE
ASR Nederland,2024,Use of proceeds,,70,TRUE
ASR Nederland,2024,Securitized and structured products,,0,FALSE
ASR Nederland,2024,Sovereign debt,,70,TRUE
ASR Nederland,2024,Sub-sovereign debt,,40,TRUE
AXA,2024,Listed equity and corporate bonds,,40,TRUE
AXA,2024,Business loans and unlisted equity,,0,FALSE
AXA,2024,Project finance,,0,FALSE
AXA,2024,Commercial real estate,,40,TRUE
AXA,2024,Mortgages,,40,TRUE
AXA,2024,Motor vehicle loans,,40,TRUE
AXA,2024,Use of proceeds,,0,FALSE
AXA,2024,Securitized and structured products,,70,TRUE
AXA,2024,Sovereign debt,,70,TRUE
AXA,2024,Sub-sovereign debt,,40,TRUE
Admiral Group,2024,Listed equity and corporate bonds,,0,FALSE
Admiral Group,2024,Business loans and unlisted equity,,0,FALSE
Admiral Group,2024,Project finance,,0,FALSE
Admiral Group,2024,Commercial real estate,,0,FALSE
Admiral Group,2024,Mortgages,,0,FALSE
Admiral Group,2024,Motor vehicle loans,,0,FALSE
Admiral Group,2024,Use of proceeds,,40,TRUE
Admiral Group,2024,Securitized and structured products,,0,FALSE
Admiral Group,2024,Sovereign debt,,0,FALSE
Admiral Group,2024,Sub-sovereign debt,,0,FALSE
Ageas,2024,Listed equity and corporate bonds,,0,FALSE
Ageas,2024,Business loans and unlisted equity,,0,FALSE
Ageas,2024,Project finance,,0,FALSE
Ageas,2024,Commercial real estate,,0,FALSE
Ageas,2024,Mortgages,,0,FALSE
Ageas,2024,Motor vehicle loans,,0,FALSE
Ageas,2024,Use of proceeds,,0,FALSE
Ageas,2024,Securitized and structured products,,0,FALSE
Ageas,2024,Sovereign debt,,0,FALSE
Ageas,2024,Sub-sovereign debt,,0,FALSE
Allianz,2024,Listed equity and corporate bonds,,40,TRUE
Allianz,2024,Business loans and unlisted equity,,0,FALSE
Allianz,2024,Project finance,,40,TRUE
Allianz,2024,Commercial real estate,,40,TRUE
Allianz,2024,Mortgages,,40,TRUE
Allianz,2024,Motor vehicle loans,,0,FALSE
Allianz,2024,Use of proceeds,,40,TRUE
Allianz,2024,Securitized and structured products,,40,TRUE
Allianz,2024,Sovereign debt,,40,TRUE
Allianz,2024,Sub-sovereign debt,,40,TRUE
Amundi,2024,Listed equity and corporate bonds,,0,FALSE
Amundi,2024,Business loans and unlisted equity,,0,FALSE
Amundi,2024,Project finance,,0,FALSE
Amundi,2024,Commercial real estate,,0,FALSE
Amundi,2024,Mortgages,,0,FALSE
Amundi,2024,Motor vehicle loans,,0,FALSE
Amundi,2024,Use of proceeds,,0,FALSE
Amundi,2024,Securitized and structured products,,0,FALSE
Amundi,2024,Sovereign debt,,0,FALSE
Amundi,2024,Sub-sovereign debt,,0,FALSE
Aviva,2024,Listed equity and corporate bonds,,40,TRUE
Aviva,2024,Business loans and unlisted equity,,0,FALSE
Aviva,2024,Project finance,,40,TRUE
Aviva,2024,Commercial real estate,,40,TRUE
Aviva,2024,Mortgages,,40,TRUE
Aviva,2024,Motor vehicle loans,,0,FALSE
Aviva,2024,Use of proceeds,,0,FALSE
Aviva,2024,Securitized and structured products,,0,FALSE
Aviva,2024,Sovereign debt,,70,TRUE
Aviva,2024,Sub-sovereign debt,,40,TRUE
Commerzbank,2024,Listed equity and corporate bonds,,40,TRUE
Commerzbank,2024,Business loans and unlisted equity,,40,TRUE
Commerzbank,2024,Project finance,,40,TRUE
Commerzbank,2024,Commercial real estate,,40,TRUE
Commerzbank,2024,Mortgages,,70,TRUE
Commerzbank,2024,Motor vehicle loans,,40,TRUE
Commerzbank,2024,Use of proceeds,,0,FALSE
Commerzbank,2024,Securitized and structured products,,0,FALSE
Commerzbank,2024,Sovereign debt,,40,TRUE
Commerzbank,2024,Sub-sovereign debt,,0,FALSE
Crédit Agricole,2024,Listed equity and corporate bonds,,0,FALSE
Crédit Agricole,2024,Business loans and unlisted equity,,0,FALSE
Crédit Agricole,2024,Project finance,,0,FALSE
Crédit Agricole,2024,Commercial real estate,,0,FALSE
Crédit Agricole,2024,Mortgages,,0,FALSE
Crédit Agricole,2024,Motor vehicle loans,,0,FALSE
Crédit Agricole,2024,Use of proceeds,,40,TRUE
Crédit Agricole,2024,Securitized and structured products,,0,FALSE
Crédit Agricole,2024,Sovereign debt,,0,FALSE
Crédit Agricole,2024,Sub-sovereign debt,,0,FALSE
Deutsche Börse,2024,Listed equity and corporate bonds,,0,FALSE
Deutsche Börse,2024,Business loans and unlisted equity,,0,FALSE
Deutsche Börse,2024,Project finance,,0,FALSE
Deutsche Börse,2024,Commercial real estate,,0,FALSE
Deutsche Börse,2024,Mortgages,,0,FALSE
Deutsche Börse,2024,Motor vehicle loans,,0,FALSE
Deutsche Börse,2024,Use of proceeds,,0,FALSE
Deutsche Börse,2024,Securitized and structured products,,0,FALSE
Deutsche Börse,2024,Sovereign debt,,70,TRUE
Deutsche Börse,2024,Sub-sovereign debt,,0,FALSE
Eurazeo,2024,Listed equity and corporate bonds,,0,FALSE
Eurazeo,2024,Business loans and unlisted equity,,0,FALSE
Eurazeo,2024,Project finance,,0,FALSE
Eurazeo,2024,Commercial real estate,,0,FALSE
Eurazeo,2024,Mortgages,,0,FALSE
Eurazeo,2024,Motor vehicle loans,,0,FALSE
Eurazeo,2024,Use of proceeds,,0,FALSE
Eurazeo,2024,Securitized and structured products,,0,FALSE
Eurazeo,2024,Sovereign debt,,0,FALSE
Eurazeo,2024,Sub-sovereign debt,,0,FALSE
GBL,2024,Listed equity and corporate bonds,,0,FALSE
GBL,2024,Business loans and unlisted equity,,0,FALSE
GBL,2024,Project finance,,0,FALSE
GBL,2024,Commercial real estate,,0,FALSE
GBL,2024,Mortgages,,0,FALSE
GBL,2024,Motor vehicle loans,,0,FALSE
GBL,2024,Use of proceeds,,0,FALSE
GBL,2024,Securitized and structured products,,0,FALSE
GBL,2024,Sovereign debt,,0,FALSE
GBL,2024,Sub-sovereign debt,,0,FALSE
KBC,2024,Listed equity and corporate bonds,,70,TRUE
KBC,2024,Business loans and unlisted equity,,0,FALSE
KBC,2024,Project finance,,0,FALSE
KBC,2024,Commercial real estate,,40,TRUE
KBC,2024,Mortgages,,40,TRUE
KBC,2024,Motor vehicle loans,,0,FALSE
KBC,2024,Use of proceeds,,70,TRUE
KBC,2024,Securitized and structured products,,0,FALSE
KBC,2024,Sovereign debt,,70,TRUE
KBC,2024,Sub-sovereign debt,,40,TRUE
Legal & General,2024,Listed equity and corporate bonds,,70,TRUE
Legal & General,2024,Business loans and unlisted equity,,0,FALSE
Legal & General,2024,Project finance,,40,TRUE
Legal & General,2024,Commercial real estate,,40,TRUE
Legal & General,2024,Mortgages,,70,TRUE
Legal & General,2024,Motor vehicle loans,,0,FALSE
Legal & General,2024,Use of proceeds,,0,FALSE
Legal & General,2024,Securitized and structured products,,0,FALSE
Legal & General,2024,Sovereign debt,,40,TRUE
Legal & General,2024,Sub-sovereign debt,,0,FALSE
NN Group,2024,Listed equity and corporate bonds,,40,TRUE
NN Group,2024,Business loans and unlisted equity,,0,FALSE
NN Group,2024,Project finance,,0,FALSE
NN Group,2024,Commercial real estate,,40,TRUE
NN Group,2024,Mortgages,,70,TRUE
NN Group,2024,Motor vehicle loans,,40,TRUE
NN Group,2024,Use of proceeds,,40,TRUE
NN Group,2024,Securitized and structured products,,40,TRUE
NN Group,2024,Sovereign debt,,40,TRUE
NN Group,2024,Sub-sovereign debt,,0,FALSE
Nordea,2024,Listed equity and corporate bonds,,40,TRUE
Nordea,2024,Business loans and unlisted equity,,40,TRUE
Nordea,2024,Project finance,,40,TRUE
Nordea,2024,Commercial real estate,,40,TRUE
Nordea,2024,Mortgages,,40,TRUE
Nordea,2024,Motor vehicle loans,,40,TRUE
Nordea,2024,Use of proceeds,,0,FALSE
Nordea,2024,Securitized and structured products,,0,FALSE
Nordea,2024,Sovereign debt,,70,TRUE
Nordea,2024,Sub-sovereign debt,,0,FALSE
Phoenix Group,2024,Listed equity and corporate bonds,,40,TRUE
Phoenix Group,2024,Business loans and unlisted equity,,0,FALSE
Phoenix Group,2024,Project finance,,70,TRUE
Phoenix Group,2024,Commercial real estate,,0,FALSE
Phoenix Group,2024,Mortgages,,40,TRUE
Phoenix Group,2024,Motor vehicle loans,,0,FALSE
Phoenix Group,2024,Use of proceeds,,0,FALSE
Phoenix Group,2024,Securitized and structured products,,0,FALSE
Phoenix Group,2024,Sovereign debt,,40,TRUE
Phoenix Group,2024,Sub-sovereign debt,,0,FALSE
Santander,2024,Listed equity and corporate bonds,,0,FALSE
Santander,2024,Business loans and unlisted equity,,40,TRUE
Santander,2024,Project finance,,40,TRUE
Santander,2024,Commercial real estate,,40,TRUE
Santander,2024,Mortgages,,70,TRUE
Santander,2024,Motor vehicle loans,,70,TRUE
Santander,2024,Use of proceeds,,40,TRUE
Santander,2024,Securitized and structured products,,70,TRUE
Santander,2024,Sovereign debt,,70,TRUE
Santander,2024,Sub-sovereign debt,,0,FALSE
Schroders,2024,Listed equity and corporate bonds,,0,FALSE
Schroders,2024,Business loans and unlisted equity,,0,FALSE
Schroders,2024,Project finance,,0,FALSE
Schroders,2024,Commercial real estate,,0,FALSE
Schroders,2024,Mortgages,,0,FALSE
Schroders,2024,Motor vehicle loans,,0,FALSE
Schroders,2024,Use of proceeds,,0,FALSE
Schroders,2024,Securitized and structured products,,0,FALSE
Schroders,2024,Sovereign debt,,70,TRUE
Schroders,2024,Sub-sovereign debt,,0,FALSE
Société Générale,2024,Listed equity and corporate bonds,,0,FALSE
Société Générale,2024,Business loans and unlisted equity,,0,FALSE
Société Générale,2024,Project finance,,0,FALSE
Société Générale,2024,Commercial real estate,,0,FALSE
Société Générale,2024,Mortgages,,0,FALSE
Société Générale,2024,Motor vehicle loans,,0,FALSE
Société Générale,2024,Use of proceeds,,0,FALSE
Société Générale,2024,Securitized and structured products,,0,FALSE
Société Générale,2024,Sovereign debt,,0,FALSE
Société Générale,2024,Sub-sovereign debt,,0,FALSE
Swiss Re,2024,Listed equity and corporate bonds,,70,TRUE
Swiss Re,2024,Business loans and unlisted equity,,0,FALSE
Swiss Re,2024,Project finance,,0,FALSE
Swiss Re,2024,Commercial real estate,,0,FALSE
Swiss Re,2024,Mortgages,,0,FALSE
Swiss Re,2024,Motor vehicle loans,,0,FALSE
Swiss Re,2024,Use of proceeds,,0,FALSE
Swiss Re,2024,Securitized and structured products,,40,TRUE
Swiss Re,2024,Sovereign debt,,70,TRUE
Swiss Re,2024,Sub-sovereign debt,,0,FALSE
UniCredit,2024,Listed equity and corporate bonds,,70,TRUE
UniCredit,2024,Business loans and unlisted equity,,0,FALSE
UniCredit,2024,Project finance,,70,TRUE
UniCredit,2024,Commercial real estate,,70,TRUE
UniCredit,2024,Mortgages,,70,TRUE
UniCredit,2024,Motor vehicle loans,,0,FALSE
UniCredit,2024,Use of proceeds,,40,TRUE
UniCredit,2024,Securitized and structured products,,70,TRUE
UniCredit,2024,Sovereign debt,,70,TRUE
UniCredit,2024,Sub-sovereign debt,,0,FALSE
Zurich,2024,Listed equity and corporate bonds,,40,TRUE
Zurich,2024,Business loans and unlisted equity,,0,FALSE
Zurich,2024,Project finance,,0,FALSE
Zurich,2024,Commercial real estate,,40,TRUE
Zurich,2024,Mortgages,,0,FALSE
Zurich,2024,Motor vehicle loans,,0,FALSE
Zurich,2024,Use of proceeds,,40,TRUE
Zurich,2024,Securitized and structured products,,0,FALSE
Zurich,2024,Sovereign debt,,70,TRUE
Zurich,2024,Sub-sovereign debt,,0,FALSE
