company,year,category,emissions_million_tco2e,asset_class,coverage_percent,data_quality_score
ASR Nederland,2024,Category 15 - Investments,1.0,unknown,,
AXA,2024,Category 15 - Investments,5.0,unknown,,
Admiral Group,2024,Category 15 - Investments,,Mixed (aggregate),,
Ageas,2024,Category 15 - Investments,,Mixed (aggregate),,
Allianz,2024,Category 15 - Investments,2030.0,unknown,,
Amundi,2024,Category 15 - Investments,,Mixed (aggregate),,
Aviva,2024,Category 15 - Investments,135896.0,tco2,,
Commerzbank,2024,Category 15 - Investments,,Mixed (aggregate),,
Crédit Agricole,2024,Category 15 - Investments,,Mixed (aggregate),,
Deutsche Börse,2024,Category 15 - Investments,,Mixed (aggregate),,
Eurazeo,2024,Category 15 - Investments,,Mixed (aggregate),,
GBL,2024,Category 15 - Investments,,Mixed (aggregate),,
KBC,2024,Category 15 - Investments,,Mixed (aggregate),,
Legal & General,2024,Category 15 - Investments,1.5,unknown,,
NN Group,2024,Category 15 - Investments,15.0,unknown,,
Nordea,2024,Category 15 - Investments,3.0,unknown,,
Phoenix Group,2024,Category 15 - Investments,12.4,mt,,
Santander,2024,Category 15 - Investments,,Mixed (aggregate),,
Schroders,2024,Category 15 - Investments,,Mixed (aggregate),,
Société Générale,2024,Category 15 - Investments,,Mixed (aggregate),,
Swiss Re,2024,Category 15 - Investments,1.0,unknown,,
UniCredit,2024,Category 15 - Investments,1.0,unknown,,
Zurich,2024,Category 15 - Investments,,Mixed (aggregate),,
