company,assessment_date,institution_type,pcaf_part,criterion,score,max_score,percentage,evidence,priority,gap_description,assessor_notes
Admiral Group,2024-12-31,Insurance,Part A,Asset Class Coverage,1,5,20.0,6.5/18 weighted asset class coefficient coverage (36.1%),Critical,Extend coverage to missing asset classes and include S3 emissions,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Attribution Methodology,2,5,40.0,PCAF® methodology referenced,High,Incomplete methodology,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Portfolio Coverage,0,5,0.0,"2024 Report: Admiral Group does not publish financed emissions (Scope 3, Cat. 15 PCAF®). No portfolio coverage rate found in the sustainability report.",Medium,Coverage data not disclosed,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to 3 years + projections for maximum score,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,"5.75/8 branch coefficient coverage (72%) – Comm.Lines 2/5, Motor 3/5, Re 1/5",Low,Extend to all 4 insurance branches,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Attribution Methodology,2,5,40.0,ITV method applied,Medium,Full PCAF® Part C alignment,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Ageas,2024-12-31,Insurance,Part A,Asset Class Coverage,1,5,20.0,"6.5/18 coefficient coverage (36.1%) – listed equity (6/6) + partial sovereign debt (0.5/2); other asset classes excluded (insurer profile, justification provided)",—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part A,Data Quality Score,3,5,60.0,"Average DQS ~2.12 for listed equities, ~2 for sovereign debt",—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part A,Attribution Methodology,3,5,60.0,PCAF methodology applied for covered asset classes,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part A,Portfolio Coverage,3,5,60.0,~71% portfolio coverage,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part A,Temporal Coverage,1,3,33.3,Current year only,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part B,Asset Class Coverage,0,5,0.0,No facilitated emissions (capital markets activity) reported,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part B,Attribution Methodology,0,5,0.0,No facilitated emissions attribution,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part B,Temporal Coverage,0,3,0.0,No facilitated emissions data,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,6/8 coefficient coverage (75%) – Commercial Lines (3/3) + Personal Motor (3/3); reinsurance branches not covered,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part C,Attribution Methodology,3,5,60.0,PCAF methodology used for commercial lines and personal motor,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Part C,Temporal Coverage,0,3,0.0,No historical time series for insurance-associated emissions,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Part A,Asset Class Coverage,5,5,100.0,17.0/18 weighted asset class coefficient coverage (94.4%),Low,Full coverage,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
