PCAF-multi-words-keyness;;;;;;;;;
Item;Score;;;;;;;;
financed emission;4393.633;;;;;;;;
insurance-associated emission;2462.901;;;;;;;;
emission factor;1379.892;;;;;;;;
attribution factor;1325.686;;;;;;;;
facilitated emission;1193.484;;;;;;;;
GHG accounting;975.436;;;;;;;;
emissions datum;916.759;;;;;;;;
data quality;883.102;;;;;;;;
data quality score;870.929;;;;;;;;
UoP structure;860.101;;;;;;;;
quality score;824.559;;;;;;;;
GHG emission;783.243;;;;;;;;
emission intensity;738.514;;;;;;;;
absolute emission;694.028;;;;;;;;
Outstanding amount;685.723;;;;;;;;
THIRD edition;677.010;;;;;;;;
GHG Protocol;668.327;;;;;;;;
asset class;582.249;;;;;;;;
financial institution;563.225;;;;;;;;
Reporting Standard;522.172;;;;;;;;
emission removal;494.133;;;;;;;;
data provider;489.671;;;;;;;;
reported emission;446.990;;;;;;;;
total equity;445.957;;;;;;;;
use of proceeds;444.394;;;;;;;;
collateral pool;413.698;;;;;;;;
business loan;384.258;;;;;;;;
activity datum;375.850;;;;;;;;
avoided emission;374.944;;;;;;;;
average emission;373.289;;;;;;;;
underlying asset;370.449;;;;;;;;
structured product;360.368;;;;;;;;
undrawn loan;347.205;;;;;;;;
activity-based emission;315.149;;;;;;;;
quality score table;289.504;;;;;;;;
data quality score table;289.504;;;;;;;;
commercial line;287.549;;;;;;;;
double counting;278.987;;;;;;;;
score table;277.436;;;;;;;;
line of business;270.370;;;;;;;;
listed equity;270.167;;;;;;;;
SECOND edition;266.374;;;;;;;;
emissions intensity;259.325;;;;;;;;
loan commitment;258.891;;;;;;;;
unlisted equity;256.428;;;;;;;;
economic emission;244.626;;;;;;;;
undrawn loan commitment;244.626;;;;;;;;
vehicle type;232.835;;;;;;;;
reporting financial institution;230.918;;;;;;;;
Global GHG Accounting;225.392;;;;;;;;
average emission factor;218.622;;;;;;;;
production emission;217.670;;;;;;;;
on-balance sheet;216.259;;;;;;;;
primary insurer;213.274;;;;;;;;
proceeds structure;212.570;;;;;;;;
capital market;211.513;;;;;;;;
physical activity datum;211.310;;;;;;;;
corporate bond;210.622;;;;;;;;
written premium;207.161;;;;;;;;
hard asset;205.861;;;;;;;;
reporting company;203.656;;;;;;;;
statistical datum;203.410;;;;;;;;
vehicle loan;200.969;;;;;;;;
PPP-adjusted GDP;199.747;;;;;;;;
motor vehicle loan;199.272;;;;;;;;
building energy;199.124;;;;;;;;
data availability;195.917;;;;;;;;
average vehicle;192.571;;;;;;;;
treaty reinsurance;192.520;;;;;;;;
carbon credit;190.415;;;;;;;;
project insurance;186.341;;;;;;;;
listed company;183.080;;;;;;;;
fuel type;182.957;;;;;;;;
primary physical activity;180.514;;;;;;;;
economic emission intensity;180.514;;;;;;;;
vehicle distance;180.002;;;;;;;;
personal motor;178.847;;;;;;;;
investee company;178.104;;;;;;;;
reporting year;176.517;;;;;;;;
total debt;174.560;;;;;;;;
description of the data quality;174.102;;;;;;;;
actual vehicle;173.391;;;;;;;;
balance sheet;173.012;;;;;;;;
building energy consumption;171.252;;;;;;;;
vehicle make;169.672;;;;;;;;
description of the data;168.124;;;;;;;;
primary physical activity datum;167.691;;;;;;;;
lines portfolio;167.691;;;;;;;;
reinsured portfolio;167.691;;;;;;;;
commercial lines portfolio;167.691;;;;;;;;
insuranceassociated emission;167.691;;;;;;;;
project finance;164.875;;;;;;;;
Part A;161.515;;;;;;;;
Outstanding amountc;161.280;;;;;;;;
physical activity-based emission;161.280;;;;;;;;
absolute scope;160.974;;;;;;;;
business goal;159.426;;;;;;;;
sovereign debt;154.948;;;;;;;;
emission scope;154.869;;;;;;;;
total emission;154.707;;;;;;;;
emissions calculation;153.632;;;;;;;;
insurance portfolio;151.670;;;;;;;;
economic activity-based emission;148.458;;;;;;;;
consumption emission;147.877;;;;;;;;
capital market activity;147.355;;;;;;;;
equity investment;147.332;;;;;;;;
financial activity;144.726;;;;;;;;
sub-sovereign debt;142.046;;;;;;;;
GHG Protocol Corporate Accounting;142.046;;;;;;;;
Estimated building;141.694;;;;;;;;
risk carrier;141.511;;;;;;;;
emissions accounting;141.374;;;;;;;;
calculation methodology;137.589;;;;;;;;
energy consumption;136.294;;;;;;;;
primary datum;135.923;;;;;;;;
primary insurance;135.741;;;;;;;;
GHG Protocol Corporate Value Chain;135.635;;;;;;;;
E mi;135.371;;;;;;;;
Corporate Value Chain;135.288;;;;;;;;
dioxide equivalent;132.424;;;;;;;;
suitable financial indicator;129.224;;;;;;;;
control approach;128.367;;;;;;;;
alternative indicator;127.926;;;;;;;;
asset owner;127.424;;;;;;;;
GHG inventory;125.826;;;;;;;;
tCO2 e;122.813;;;;;;;;
Option 2a;122.566;;;;;;;;
underwriting portfolio;122.562;;;;;;;;
financial indicator;122.561;;;;;;;;
construction emission;122.471;;;;;;;;
