"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"financed emission",689,346,4417.31787,0.00562,4393.633
"insurance-associated emission",384,0,2461.90137,0.00000,2462.901
"emission factor",241,7418,1545.09961,0.12045,1379.892
"attribution factor",207,113,1327.11877,0.00183,1325.686
"facilitated emission",186,0,1192.48352,0.00000,1193.484
"GHG accounting",153,409,980.91388,0.00664,975.436
"emissions datum",153,4377,980.91388,0.07107,916.759
"data quality",286,66356,1833.60364,1.07745,883.102
"data quality score",136,141,871.92340,0.00229,870.929
"UoP structure",134,0,859.10101,0.00000,860.101
"quality score",165,17499,1057.84827,0.28414,824.559
"GHG emission",223,50909,1429.69800,0.82663,783.243
"emission intensity",121,3189,775.75537,0.05178,738.514
"absolute emission",110,1083,705.23218,0.01759,694.028
"Outstanding amount",120,7600,769.34418,0.12340,685.723
"THIRD edition",208,59813,1333.52991,0.97121,677.010
"GHG Protocol",105,539,673.17615,0.00875,668.327
"asset class",210,80927,1346.35229,1.31405,582.249
"financial institution",663,403309,4250.62646,6.54871,563.225
"Reporting Standard",94,9610,602.65295,0.15604,522.172
"emission removal",77,66,493.66254,0.00107,494.133
"data provider",110,27237,705.23218,0.44226,489.671
"reported emission",70,385,448.78412,0.00625,446.990
"total equity",74,4070,474.42892,0.06609,445.957
"use of proceeds",72,2524,461.60651,0.04098,444.394
"collateral pool",65,600,416.72812,0.00974,413.698
"business loan",94,35163,602.65295,0.57096,384.258
"activity datum",65,6862,416.72812,0.11142,375.850
"avoided emission",59,709,378.26089,0.01151,374.944
"average emission",60,2043,384.67209,0.03317,373.289
"underlying asset",72,15321,461.60651,0.24877,370.449
"structured product",61,5420,391.08331,0.08801,360.368
"undrawn loan",54,0,346.20490,0.00000,347.205
"activity-based emission",49,0,314.14890,0.00000,315.149
"data quality score table",45,0,288.50409,0.00000,289.504
"quality score table",45,0,288.50409,0.00000,289.504
"commercial line",48,4538,307.73767,0.07369,287.549
"double counting",46,3737,294.91528,0.06068,278.987
"score table",45,2679,288.50409,0.04350,277.436
"line of business",65,33566,416.72812,0.54503,270.370
"listed equity",43,1485,275.68167,0.02411,270.167
"SECOND edition",139,144682,891.15704,2.34927,266.374
"emissions intensity",43,4122,275.68167,0.06693,259.325
"loan commitment",42,2707,269.27048,0.04395,258.891
"unlisted equity",40,245,256.44806,0.00398,256.428
"undrawn loan commitment",38,0,243.62566,0.00000,244.626
"economic emission",38,0,243.62566,0.00000,244.626
"vehicle type",46,16685,294.91528,0.27092,232.835
"reporting financial institution",36,236,230.80325,0.00383,230.918
"Global GHG Accounting",35,0,224.39206,0.00000,225.392
"average emission factor",34,101,217.98085,0.00164,218.622
"production emission",34,371,217.98085,0.00602,217.670
"on-balance sheet",34,775,217.98085,0.01258,216.259
"primary insurer",34,1648,217.98085,0.02676,213.274
"proceeds structure",33,0,211.56966,0.00000,212.570
"capital market",93,112312,596.24176,1.82366,211.513
"physical activity datum",33,367,211.56966,0.00596,211.310
"corporate bond",51,34313,326.97128,0.55716,210.622
"written premium",34,3514,217.98085,0.05706,207.161
"hard asset",35,5843,224.39206,0.09488,205.861
"reporting company",35,6573,224.39206,0.10673,203.656
"statistical datum",49,33831,314.14890,0.54933,203.410
"vehicle loan",33,3555,211.56966,0.05772,200.969
"PPP-adjusted GDP",31,0,198.74725,0.00000,199.747
"motor vehicle loan",31,147,198.74725,0.00239,199.272
"building energy",38,14073,243.62566,0.22851,199.124
"data availability",37,13296,237.21446,0.21589,195.917
"average vehicle",31,2295,198.74725,0.03726,192.571
"treaty reinsurance",30,261,192.33604,0.00424,192.520
"carbon credit",41,23754,262.85925,0.38570,190.415
"project insurance",29,193,185.92485,0.00313,186.341
"listed company",48,42270,307.73767,0.68636,183.080
"fuel type",34,12126,217.98085,0.19690,182.957
"economic emission intensity",28,0,179.51364,0.00000,180.514
"primary physical activity",28,0,179.51364,0.00000,180.514
"vehicle distance",28,175,179.51364,0.00284,180.002
"personal motor",28,574,179.51364,0.00932,178.847
"investee company",29,3050,185.92485,0.04952,178.104
"reporting year",30,5868,192.33604,0.09528,176.517
"total debt",34,15672,217.98085,0.25447,174.560
"description of the data quality",27,0,173.10245,0.00000,174.102
"actual vehicle",28,2530,179.51364,0.04108,173.391
"balance sheet",123,219475,788.57782,3.56372,173.012
"building energy consumption",27,1025,173.10245,0.01664,171.252
"vehicle make",27,1608,173.10245,0.02611,169.672
"description of the data",27,2190,173.10245,0.03556,168.124
"insuranceassociated emission",26,0,166.69124,0.00000,167.691
"commercial lines portfolio",26,0,166.69124,0.00000,167.691
"lines portfolio",26,0,166.69124,0.00000,167.691
"primary physical activity datum",26,0,166.69124,0.00000,167.691
"reinsured portfolio",26,0,166.69124,0.00000,167.691
"project finance",31,13026,198.74725,0.21151,164.875
"Part A",33,19467,211.56966,0.31609,161.515
"Outstanding amountc",25,0,160.28004,0.00000,161.280
"physical activity-based emission",25,0,160.28004,0.00000,161.280
"absolute scope",25,117,160.28004,0.00190,160.974
"business goal",44,47772,282.09286,0.77570,159.426
"sovereign debt",36,30547,230.80325,0.49601,154.948
"emission scope",24,0,153.86884,0.00000,154.869
"total emission",27,7721,173.10245,0.12537,154.707
"emissions calculation",24,496,153.86884,0.00805,153.632
"insurance portfolio",24,1299,153.86884,0.02109,151.670
"economic activity-based emission",23,0,147.45764,0.00000,148.458
"consumption emission",23,242,147.45764,0.00393,147.877
"capital market activity",23,461,147.45764,0.00749,147.355
"equity investment",35,32630,224.39206,0.52983,147.332
"financial activity",28,15229,179.51364,0.24728,144.726
"GHG Protocol Corporate Accounting",22,0,141.04643,0.00000,142.046
"sub-sovereign debt",22,0,141.04643,0.00000,142.046
"Estimated building",22,153,141.04643,0.00248,141.694
"risk carrier",22,233,141.04643,0.00378,141.511
"emissions accounting",22,293,141.04643,0.00476,141.374
"calculation methodology",22,1995,141.04643,0.03239,137.589
"energy consumption",80,170623,512.89612,2.77048,136.294
"primary datum",27,17299,173.10245,0.28089,135.923
"primary insurance",22,2861,141.04643,0.04646,135.741
"GHG Protocol Corporate Value Chain",21,0,134.63524,0.00000,135.635
