"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"PCAF",535,1269,3429.99292,0.02061,3361.724
"GHG",753,122031,4827.63477,1.98147,1619.547
"insurance-associated",227,3,1455.34277,0.00005,1456.272
"UoP",150,1132,961.68024,0.01838,945.305
"INSURANCE-ASSOCIATED",132,0,846.27863,0.00000,847.279
"tCO2e",128,1439,820.63379,0.02337,802.874
"emission",4312,2196320,27645.10156,35.66265,754.067
"EVIC",101,572,647.53137,0.00929,642.563
"sub-sovereign",93,339,596.24176,0.00550,593.972
"attribution",397,204551,2545.24707,3.32139,589.220
"investee",88,7923,564.18573,0.12865,500.763
"Option",254,140526,1628.44519,2.28178,496.512
"Scope",129,63999,827.04498,1.03918,406.067
"reinsurer",82,19166,525.71851,0.31121,401.705
"securitization",84,26872,538.54095,0.43633,375.638
"undrawn",58,3135,371.84970,0.05090,354.789
"reinsurance",105,59370,673.17615,0.96402,343.264
"PPP-adjusted",51,148,326.97128,0.00240,327.185
"subchapter",64,19004,410.31689,0.30858,314.324
"cedent",49,1124,314.14890,0.01825,309.500
"activity-based",53,8334,339.79370,0.13532,300.173
"FIs",46,7557,294.91528,0.12271,263.573
"Cedent",41,91,262.85925,0.00148,263.470
"unlisted",61,30952,391.08331,0.50258,260.940
"insurer",414,576036,2654.23755,9.35336,256.461
"EEIO",38,65,243.62566,0.00106,244.368
"WBCSD",42,6813,269.27048,0.11063,243.350
"FI",68,50646,435.96170,0.82236,239.778
"amountc",36,2,230.80325,0.00003,231.796
"tranche",54,30718,346.20490,0.49878,231.658
"IAE",38,5276,243.62566,0.08567,225.323
"insured",149,202735,955.26904,3.29190,222.808
"tranch",41,17172,262.85925,0.27883,206.329
"reinsure",34,4268,217.98085,0.06930,204.789
"Protocol",227,379873,1455.34277,6.16817,203.168
"on-balance",32,1136,205.15845,0.01845,202.425
"WRI",36,12847,230.80325,0.20860,191.794
"CO2e",33,10239,211.56966,0.16626,182.267
"TI",73,98808,468.01773,1.60439,180.087
"comparability",40,28698,256.44806,0.46598,175.615
"COA",44,38547,282.09286,0.62591,174.114
"SSI",63,83223,403.90570,1.35133,172.203
"ON",132,243278,846.27863,3.95022,171.160
"Score",54,66083,346.20490,1.07302,167.487
"sector-specific",31,12221,198.74725,0.19844,166.673
"origination",53,68953,339.79370,1.11962,160.780
"IFRS",49,59392,314.14890,0.96438,160.432
"issuer",109,207705,698.82098,3.37260,160.047
"tCO2",25,1353,160.28004,0.02197,157.813
"insuranceassociated",24,0,153.86884,0.00000,154.869
"originator",61,94401,391.08331,1.53283,154.800
"LULUCF",24,3003,153.86884,0.04876,147.668
"lob",53,82161,339.79370,1.33409,146.007
"unverified",34,30875,217.98085,0.50133,145.858
"underwriting",57,96160,365.43851,1.56139,143.062
"Insurance-Associated",22,2,141.04643,0.00003,142.042
"Accounting",136,318765,871.92340,5.17593,141.343
"Insurance-associated",21,1,134.63524,0.00002,135.633
"Reporting",130,318904,833.45624,5.17819,135.065
"collateral",132,328960,846.27863,5.34147,133.609
"denominator",57,110349,365.43851,1.79179,131.256
"finance",867,2587741,5558.51172,42.01834,129.236
"Sub-sovereign",20,18,128.22403,0.00029,129.186
"SPV",25,15708,160.28004,0.25506,128.504
"scope",649,1958237,4160.86963,31.79679,126.899
"TCFD",22,7488,141.04643,0.12159,126.648
"cede",55,116512,352.61609,1.89186,122.280
"methodology",360,1144710,2308.03271,18.58718,117.885
"Standard",382,1227575,2449.07910,19.93270,117.046
"emissionsc",18,0,115.40163,0.00000,116.402
"emissionss",18,2,115.40163,0.00003,116.398
"Tranche",19,5762,121.81283,0.09356,112.306
"UNFCCC",26,31480,166.69124,0.51116,110.969
"SSP",33,57336,211.56966,0.93099,110.083
"CDP",34,62841,217.98085,1.02038,108.386
"accounting",317,1106588,2032.35095,17.96817,107.198
"TTR",19,9989,121.81283,0.16220,105.673
"counting",48,119742,307.73767,1.94431,104.859
"input-output",20,14976,128.22403,0.24317,103.947
"weighting",40,91231,256.44806,1.48136,103.753
"teg",19,11620,121.81283,0.18868,103.319
"listed",84,260627,538.54095,4.23192,103.125
"TA",57,161005,365.43851,2.61431,101.385
"securitize",19,13458,121.81283,0.21852,100.788
"bookrunner",16,3131,102.57922,0.05084,98.568
"Idi",20,19485,128.22403,0.31639,98.166
"subsovereign",15,40,96.16802,0.00065,97.105
"overcollateralization",15,363,96.16802,0.00589,96.599
"Annex",45,123515,288.50409,2.00557,96.323
"decarbonization",20,21240,128.22403,0.34488,96.086
"ISSB",15,873,96.16802,0.01418,95.810
"numerator",22,30429,141.04643,0.49409,95.072
"Securitization",16,5721,102.57922,0.09289,94.775
"sectoral",29,60389,185.92485,0.98056,94.380
"issuance",79,281715,506.48492,4.57434,91.040
"debtc",14,0,89.75682,0.00000,90.757
"amountb",14,2,89.75682,0.00003,90.754
"re",359,1507114,2301.62134,24.47170,90.399
"emissions-related",14,525,89.75682,0.00852,89.990
"equity",374,1618041,2397.78931,26.27287,87.955
"reported",36,101820,230.80325,1.65330,87.364
"MWh",19,26418,121.81283,0.42896,85.946
"Climate-related",14,3534,89.75682,0.05738,85.832
"originationb",13,0,83.34562,0.00000,84.346
"recalculation",15,9581,96.16802,0.15557,84.087
"climate-related",19,29011,121.81283,0.47106,83.486
"NF3",13,952,83.34562,0.01546,83.062
"GDPs",13,1448,83.34562,0.02351,82.408
"Cre",21,39859,134.63524,0.64721,82.342
"Financials",17,20878,108.99043,0.33901,82.143
"trifluoride",13,1704,83.34562,0.02767,82.075
"calculate",440,2089194,2820.92871,33.92320,80.804
"EMI",37,124453,237.21446,2.02080,78.858
"megawatt-hour",13,4459,83.34562,0.07240,78.651
"Revenuec",12,1,76.93442,0.00002,77.933
"Supplier-specific",12,3,76.93442,0.00005,77.931
"Y1",15,15540,96.16802,0.25233,77.590
"borrower",107,484207,685.99860,7.86229,77.519
"hexafluoride",13,5671,83.34562,0.09208,77.234
"SF6",13,6043,83.34562,0.09812,76.809
"GTAP",12,2017,76.93442,0.03275,75.463
"SI",42,159489,269.27048,2.58970,75.291
"portfolio",341,1728899,2186.21973,28.07292,75.232
"Debt",37,133473,237.21446,2.16726,75.211
"UTI",19,39472,121.81283,0.64092,74.844
"facultative",13,8560,83.34562,0.13899,74.053
"Y2",13,9004,83.34562,0.14620,73.587
"intensity",206,1061264,1320.70752,17.23223,72.493
"X1",23,64850,147.45764,1.05300,72.313
"weighted",46,193374,294.91528,3.13990,71.479
"factore",11,250,70.52322,0.00406,71.234
"vehicle-specific",11,1140,70.52322,0.01851,70.223
"granularity",18,41338,115.40163,0.67122,69.651
"WLTP",12,7412,76.93442,0.12035,69.562
"Ula",14,19189,89.75682,0.31158,69.197
"project-specific",12,7821,76.93442,0.12699,69.153
"Casualty",18,42210,115.40163,0.68538,69.065
"GHGs",12,7989,76.93442,0.12972,68.986
"Nace",13,15054,83.34562,0.24444,67.778
"X4",15,26861,96.16802,0.43615,67.658
"disclose",194,1081000,1243.77307,17.55269,67.094
"Sovereign",31,122175,198.74725,1.98381,66.944
"Corporate",74,378107,474.42892,6.13950,66.591
"sovereign",89,471886,570.59692,7.66223,65.987
"transparently",19,53682,121.81283,0.87166,65.617
"EVICc",10,0,64.11201,0.00000,65.112
"premiumr",10,1,64.11201,0.00002,65.111
"CPWr",10,3,64.11201,0.00005,65.109
"issuer-level",10,46,64.11201,0.00075,65.063
"corporate-like",10,171,64.11201,0.00278,64.932
"asset",623,3733300,3994.17871,60.61930,64.836
"WACI",10,340,64.11201,0.00552,64.755
"Z1",13,19500,83.34562,0.31663,64.062
"Subchapter",12,13470,76.93442,0.21872,63.948
"sub-option",10,1464,64.11201,0.02377,63.600
"revenue-based",10,1645,64.11201,0.02671,63.418
"perfluorocarbon",10,1679,64.11201,0.02726,63.384
"VE",17,46006,108.99043,0.74702,62.959
"Carbon",62,329799,397.49451,5.35510,62.705
"ICCT",10,2665,64.11201,0.04327,62.411
"ICMA",11,9446,70.52322,0.15338,62.012
"hydrofluorocarbon",10,3089,64.11201,0.05016,62.002
"PFCs",10,3219,64.11201,0.05227,61.878
"write-down",11,10284,70.52322,0.16699,61.289
"PPP",40,200769,256.44806,3.25998,60.434
"reporting",178,1103960,1141.19385,17.92550,60.352
"Greenhouse",20,71405,128.22403,1.15944,59.842
"institution",743,4844651,4763.52295,78.66481,59.807
"GDP",116,707151,743.69940,11.48233,59.660
"year-end",26,111602,166.69124,1.81213,59.631
"location-specific",10,6175,64.11201,0.10027,59.178
"nominal",57,320534,365.43851,5.20466,59.059
"amountv",9,1,57.70081,0.00002,58.700
"Sub-Sovereign",9,33,57.70081,0.00054,58.669
"tCO",9,63,57.70081,0.00102,58.641
"structured",70,410988,448.78412,6.67340,58.616
"supplier-specific",9,103,57.70081,0.00167,58.603
"co-manager",10,7028,64.11201,0.11412,58.443
"HFCs",10,7258,64.11201,0.11785,58.247
"WIOD",9,503,57.70081,0.00817,58.225
"harmonize",29,136749,185.92485,2.22046,58.043
"S2",25,110335,160.28004,1.79156,57.774
"Pwr",11,15422,70.52322,0.25041,57.200
"facilitation",29,142697,185.92485,2.31704,56.353
"calculation",185,1245250,1186.07227,20.21969,55.942
